id,niyet,baslik,belge_turu,dosya
CY-001,03_bilgi_edinme,Soru Önergeleri-365,tamamlanmis_resmi_cevap,CY-001_7-42571-abd-ve-israil-in-iran-a-yonelik-saldirilari-nedeniyle-alinan-onl.md
CY-002,03_bilgi_edinme,X.?®.YS..İİİ§.^.İ.ll..S9runl^,tamamlanmis_resmi_cevap,CY-002_7-43179-insan-haklarini-inceleme-komisyonuna-belgegecer-yoluyla-yapilan.md
CY-003,03_bilgi_edinme,Soru Önergesi (7/42931),tamamlanmis_resmi_cevap,CY-003_7-42931-turkiye-ve-israil-arasindaki-ticaret-hacmine-iliskin.md
CY-004,02_sikayet,Soru Önergeleri-365,tamamlanmis_resmi_cevap,CY-004_7-42570-dicle-universitesi-hastanesinde-gorev-yapan-bir-kisi-ile-ilgili.md
CY-005,03_bilgi_edinme,Gi UNLU ML UL,tamamlanmis_resmi_cevap,CY-005_7-42852-erisim-engeli-getirilen-bir-habere-iliskin.md
CY-006,03_bilgi_edinme,Yazılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-006_7-42533-abd-ve-israil-in-iran-a-yonelik-saldirilarinin-bolgesel-bir-cati.md
CY-007,03_bilgi_edinme,Soru Önergeleri-364,tamamlanmis_resmi_cevap,CY-007_7-42455-burdur-mehmet-akif-ersoy-universitesine-ait-bazi-arazilerin-kira.md
CY-008,03_bilgi_edinme,Soru Önergeleri-364,tamamlanmis_resmi_cevap,CY-008_7-42454-abd-ve-israil-in-iran-a-yonelik-saldirilari-nedeniyle-alinan-onl.md
CY-009,03_bilgi_edinme,Yazılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-009_7-42649-katar-da-sehit-dusen-turk-asker-ve-teknisyenleri-icin-yapilan-ce.md
CY-010,03_bilgi_edinme,Soru Önergesi,tamamlanmis_resmi_cevap,CY-010_7-42452-tbmm-baskanligina-gelen-yasama-dokunulmazliginin-kaldirilmasi-is.md
CY-011,03_bilgi_edinme,TÜRKİYE BÜYÜK MİLLET MECLİSİ BAŞKANLIĞI,tamamlanmis_resmi_cevap,CY-011_7-42451-tbmm-genel-kurulunda-kabul-edilen-kanunlara-iliskin.md
CY-012,02_sikayet,Yazılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-012_7-42413-nato-nun-turkiye-de-yeni-bir-cok-uluslu-karargah-kuracagi-iddias.md
CY-013,01_istek_talep,Soru Önergeleri-363,tamamlanmis_resmi_cevap,CY-013_7-42335-enerji-fiyatlarindaki-artisa-karsi-sosyal-destek-mekanizmasi-olu.md
CY-014,03_bilgi_edinme,Soru Önergesi (7/42671),tamamlanmis_resmi_cevap,CY-014_7-42671-17-mart-2026-tarihli-cumhurbaskani-karari-kapsaminda-transit-gec.md
CY-015,03_bilgi_edinme,are »,tamamlanmis_resmi_cevap,CY-015_7-42648-17-mart-2026-tarihli-cumhurbaskani-karari-kapsaminda-transit-gec.md
CY-016,02_sikayet,Yazılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-016_7-42412-nato-nun-turkiye-de-yeni-bir-cok-uluslu-karargah-kuracagi-iddias.md
CY-017,03_bilgi_edinme,Soru Önergeleri,tamamlanmis_resmi_cevap,CY-017_7-42317-arac-ici-multimedya-sistemleri-alaninda-faaliyet-gosteren-isletm.md
CY-018,03_bilgi_edinme,Yazılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-018_7-42310-ege-denizi-nde-statusu-belirli-olmayan-ada-adacik-ve-kayaliklara.md
CY-019,03_bilgi_edinme,Soru Önergeleri-362,tamamlanmis_resmi_cevap,CY-019_7-42217-adalet-bakani-nin-atanma-surecine-iliskin.md
CY-020,03_bilgi_edinme,Soru Önergeleri-362,tamamlanmis_resmi_cevap,CY-020_7-42216-adalet-bakani-nin-sahibi-oldugu-gayrimenkullere-iliskin.md
CY-021,03_bilgi_edinme,Yazılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-021_7-42309-harp-arac-ve-gerecleri-silah-muhimmat-ve-askeri-patlayici-maddel.md
CY-022,03_bilgi_edinme,Soru Önergeleri-362,tamamlanmis_resmi_cevap,CY-022_7-42214-istanbul-teknik-universitesi-bunyesinde-kurulan-bir-ogrenci-kulu.md
CY-023,03_bilgi_edinme,7/42159 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-023_7-42159-izmir-in-konak-ilcesine-bagli-umurbey-mahallesi-nde-bulunan-bazi.md
CY-024,02_sikayet,Gi Sey E--12007 03-1837679,tamamlanmis_resmi_cevap,CY-024_7-42133-6-subat-2023-tarihli-depremler-sonrasi-insa-edilen-konutlarin-te.md
CY-025,03_bilgi_edinme,Soru Önergesi (7/42118),tamamlanmis_resmi_cevap,CY-025_7-42118-2025-te-iflas-eden-veya-konkordato-ilan-eden-sirket-sayisina-ili.md
CY-026,03_bilgi_edinme,Soru Önergesi (7/42115) İ,tamamlanmis_resmi_cevap,CY-026_7-42115-monosodyum-glutamat-ithalatina-iliskin.md
CY-027,03_bilgi_edinme,7/42047 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-027_7-42047-son-5-yilda-pazarlik-usuluyle-yapilan-ihalelere-iliskin.md
CY-028,03_bilgi_edinme,7/42045 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-028_7-42045-son-10-yilda-en-fazla-kamu-ihalesi-kazanan-sirketlere-iliskin.md
CY-029,03_bilgi_edinme,7/42040 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-029_7-42040-2023-yilindan-bu-yana-ozellestirme-idaresi-baskanligi-tarafindan.md
CY-030,03_bilgi_edinme,7/42037 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-030_7-42037-dicle-universitesi-tip-fakultesi-hastanesi-projesi-nin-ihale-sur.md
CY-031,03_bilgi_edinme,Soru Önergeleri-360,tamamlanmis_resmi_cevap,CY-031_7-41985-6-subat-2023-tarihli-depremler-sonrasi-toplanan-ayni-ve-nakdi-ya.md
CY-032,03_bilgi_edinme,Soru Önergeleri-359,tamamlanmis_resmi_cevap,CY-032_7-41900-bir-kamu-bankasi-hakkinda-abd-de-gorulen-davaya-iliskin.md
CY-033,03_bilgi_edinme,TÜRKİYE BÜYÜK MİLLET MECLİSİ BAŞKANLİĞI,tamamlanmis_resmi_cevap,CY-033_7-41897-gorev-suresi-sona-eren-arastirma-komisyonlarina-iliskin.md
CY-034,03_bilgi_edinme,Plan ve Bütçe K^isyonu Başkanı,tamamlanmis_resmi_cevap,CY-034_7-41896-sayistayin-faaliyetlerine-iliskin.md
CY-035,03_bilgi_edinme,Soru Önergesi (7/41890),tamamlanmis_resmi_cevap,CY-035_7-41890-made-in-eu-duzenlemesine-turkiye-nin-dahil-edilmesi-icin-yapilan.md
CY-036,03_bilgi_edinme,. e PR 3.,tamamlanmis_resmi_cevap,CY-036_7-41878-insansi-robot-ve-ileri-yapay-zeka-alaninda-yapilan-calismalara-i.md
CY-037,03_bilgi_edinme,Soru Önergeleri,tamamlanmis_resmi_cevap,CY-037_7-41877-edirne-deki-issizligin-onlenmesi-icin-yurutulen-calismalara-ilis.md
CY-038,03_bilgi_edinme,7/41936 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-038_7-41936-sayistayin-2023-ve-2024-yili-denetim-raporlarinda-milli-piyango.md
CY-039,03_bilgi_edinme,Soru Önergesi (7/41757),tamamlanmis_resmi_cevap,CY-039_7-41757-sogan-ithalatina-iliskin.md
CY-040,03_bilgi_edinme,Soru Önergesi,tamamlanmis_resmi_cevap,CY-040_7-41663-milli-dayanisma-kardeslik-ve-demokrasi-komisyonunun-calismalarin.md
CY-041,03_bilgi_edinme,Soru Önergesi,tamamlanmis_resmi_cevap,CY-041_7-41662-milli-dayanisma-kardeslik-ve-demokrasi-komisyonuna-iliskin.md
CY-042,03_bilgi_edinme,7/41592 Esas Sayılı Soru Önergesi,tamamlanmis_resmi_cevap,CY-042_7-41592-sayistayin-2023-ve-2024-yili-denetim-raporlarinda-temsan-ile-ilg.md
CY-043,02_sikayet,e Sayı: B--12007.03-1$18915,tamamlanmis_resmi_cevap,CY-043_7-41528-ankara-bilim-universitesinde-ogrencilerin-yasadigi-bazi-sorunlar.md
CY-044,03_bilgi_edinme,", Â Sayı: E-12007 03-1$23865",tamamlanmis_resmi_cevap,CY-044_7-41778-turkiye-nin-avrupa-yerel-yonetimler-ozerklik-sarti-na-koydugu-ce.md
CY-045,02_sikayet,e Sayı E.-120 07 03-1818919,tamamlanmis_resmi_cevap,CY-045_7-41411-izmir-kadin-kapali-cezaevinde-bulunan-bir-mahkumun-iskence-gordu.md
CY-046,03_bilgi_edinme,Soru Önergesi,tamamlanmis_resmi_cevap,CY-046_7-41664-tbmm-yerleskesi-nde-kullanilan-tek-kullanimlik-plastik-su-sisele.md
CY-047,02_sikayet,Soru Önergeleri-356,tamamlanmis_resmi_cevap,CY-047_7-41526-izmir-kadin-kapali-cezaevinde-bulunan-bir-mahkumun-iskence-gordu.md
CY-048,02_sikayet,Soru Önergeleri-356,tamamlanmis_resmi_cevap,CY-048_7-41525-izmir-kadin-kapali-cezaevinde-bulunan-bir-mahkumun-iskence-gordu.md
CY-049,03_bilgi_edinme,Soru Önergeleri,tamamlanmis_resmi_cevap,CY-049_7-41393-dogu-ve-guneydogu-anadolu-bolgelerinde-yer-alan-illerde-sanayi-r.md
CY-050,03_bilgi_edinme,TÜRKİYE BÜYÜK MÎLLET MECLİSİ BAŞKANLIĞI,tamamlanmis_resmi_cevap,CY-050_7-41661-isitme-engelli-bireylerin-secilme-haklarini-kullanmalarina-ve-ya.md
CY-201,04_itiraz,Belirtilmemiş Başlık,sentetik_belge,CY-201.md
CY-202,04_itiraz,Belirtilmemiş Başlık,sentetik_belge,CY-202.md
CY-203,05_gorus_talebi,Belirtilmemiş Başlık,sentetik_belge,CY-203.md
CY-204,05_gorus_talebi,Belirtilmemiş Başlık,sentetik_belge,CY-204.md
CY-205,06_olumlu_cevap,Belirtilmemiş Başlık,sentetik_belge,CY-205.md
CY-206,06_olumlu_cevap,Belirtilmemiş Başlık,sentetik_belge,CY-206.md
CY-207,07_ret_kismen_kabul,Belirtilmemiş Başlık,sentetik_belge,CY-207.md
CY-208,07_ret_kismen_kabul,Belirtilmemiş Başlık,sentetik_belge,CY-208.md
CY-209,08_eksik_belge_yetkisizlik,Belirtilmemiş Başlık,sentetik_belge,CY-209.md
CY-210,08_eksik_belge_yetkisizlik,Belirtilmemiş Başlık,sentetik_belge,CY-210.md
CY-211,04_itiraz,Belirtilmemiş Başlık,sentetik_belge,CY-211.md
CY-212,04_itiraz,Belirtilmemiş Başlık,sentetik_belge,CY-212.md
CY-213,04_itiraz,Belirtilmemiş Başlık,sentetik_belge,CY-213.md
CY-214,04_itiraz,Belirtilmemiş Başlık,sentetik_belge,CY-214.md
CY-215,05_gorus_talebi,Belirtilmemiş Başlık,sentetik_belge,CY-215.md
CY-216,05_gorus_talebi,Belirtilmemiş Başlık,sentetik_belge,CY-216.md
CY-217,05_gorus_talebi,Belirtilmemiş Başlık,sentetik_belge,CY-217.md
CY-218,05_gorus_talebi,Belirtilmemiş Başlık,sentetik_belge,CY-218.md
CY-219,06_olumlu_cevap,Belirtilmemiş Başlık,sentetik_belge,CY-219.md
CY-220,06_olumlu_cevap,Belirtilmemiş Başlık,sentetik_belge,CY-220.md
CY-221,06_olumlu_cevap,Belirtilmemiş Başlık,sentetik_belge,CY-221.md
CY-222,06_olumlu_cevap,Belirtilmemiş Başlık,sentetik_belge,CY-222.md
