aday_id,kurum,url,hedef_senaryo,belge_yapisi,karar,karar_gerekcesi
ADAY-001,Türk Patent ve Marka Kurumu,https://webim.turkpatent.gov.tr/file/47695113-e8da-4fe3-ac11-668fd8322ee8?download=&name=5,"eksik_belge;yetkisizlik",ilanen_tebligat_bulteni,toplandi_usage_review_required,"Kaynak PDF değişmeden saklandı; iki bültenden toplam 22 tekil bildirim ayrıştırıldı, semantik anonimleştirildi ve kaynak iziyle kaydedildi."
ADAY-002,Türk Patent ve Marka Kurumu,https://webim.turkpatent.gov.tr/file/a3115479-acc6-4fa9-87c0-3edeebbc5f7f?download=&name=9,"eksik_belge;eksik_vekaletname",ilanen_tebligat_bulteni,toplandi_usage_review_required,"İkinci kaynak PDF değişmeden saklandı; yeni vekâletname ve ücret eksikliği aileleri korpusa eklendi."
ADAY-003,Gelir İdaresi Başkanlığı,https://gib.gov.tr/mevzuat/kanun/436/ozelge/23501,ret,anonimlestirilmis_ozelge,toplandi_usage_review_required,"Resmî API anlık görüntüsü ve kaynak iziyle toplanan olumsuz görüş kümesinin parçası."
ADAY-004,Gelir İdaresi Başkanlığı,https://gib.gov.tr/mevzuat/kanun/435/ozelge/29583,ret,anonimlestirilmis_ozelge,toplandi_usage_review_required,"Resmî API anlık görüntüsü ve kaynak iziyle toplanan gerekçeli olumsuz cevap."
ADAY-005,Gelir İdaresi Başkanlığı,https://gib.gov.tr/mevzuat/kanun/435/ozelge/27306,olumlu_cevap,anonimlestirilmis_ozelge,toplandi_usage_review_required,"Resmî API anlık görüntüsü ve kaynak iziyle toplanan gerekçeli olumlu cevap."
ADAY-006,Gelir İdaresi Başkanlığı,https://gib.gov.tr/mevzuat/kanun/438/ozelge/38835,ret,anonimlestirilmis_ozelge,toplandi_usage_review_required,"Resmî API anlık görüntüsü ve kaynak iziyle toplanan olumsuz özelge."
ADAY-007,Gelir İdaresi Başkanlığı,https://gib.gov.tr/mevzuat/kanun/437/ozelge/33961,ret,anonimlestirilmis_ozelge,reddedildi_ozel_nitelikli_veri,"Sağlık/engellilik ayrıntıları içeriyor; RAG'a alınmamalı."
ADAY-008,Kamu Denetçiliği Kurumu,https://paylasim.ombudsman.gov.tr/dokuman/documentuploads/KDK-2024-Yillik-Rapor/files/KDK-2024-Yillik-Plan.pdf,kismi_kabul,toplu_yillik_rapor,reference_only,"Kısmen tavsiye/kısmen ret dağılımı için istatistik kaynağı; tekil yazı örneği değil."
ADAY-009,Sivil Havacılık Genel Müdürlüğü,https://web.shgm.gov.tr/documents/sivilhavacilik/files/mevzuat/SHT-MUAFIYET%2BOPS-FCL%2BREV01.pdf,"olumlu_cevap;kismi_kabul;ret",talimat,reference_only,"Cevabın uygun/kısmen uygun/ret olarak nasıl gerekçelendirileceğini tanımlıyor; yazı örneği değil."
ADAY-010,Tarım ve Orman Bakanlığı Ankara İl Müdürlüğü,https://ankara.tarimorman.gov.tr/Duyuru/397/Kirsal-Kalkinma-Yatirim-Programi-Hatali-Belge-Ve_veya-Dokuman-Listeleri,eksik_belge,duyuru_ve_ust_yazi_eki,kaynak_dosyasi_dogrulama,"Sayfada eksik belge listesi ve üst yazı eki var; doğrudan ek URL'si ve PII kapsamı doğrulanmalı."
