id,kategori,kaynak_kurum,rag_status,anonimlestirme_durumu,neden,dosya,manuel_sonuc,not,inceleyen,inceleme_tarihi
OS-01-036,01_ust_yazi,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/ust_yazi/OS-01-036.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-02-196,02_cevap_yazisi,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/cevap_yazisi/OS-02-196.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-03-101,03_bilgilendirme_metni,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/bilgilendirme_metni/OS-03-101.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-04-163,04_diger_resmi_yazisma,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/diger_resmi_yazisma/OS-04-163.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
BM-003,bilgilendirme_metni,Ticaret Bakanlığı,candidate,uygun,,datasets/resmi_yazisma/03_bilgilendirme_metni/01_islem_sureci/BM-003_ebys-kurum-disi-erisimi-hakkinda-duyuru.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
CY-225,cevap_yazisi,Sentetik veri üretimi,candidate,uygun,,datasets/resmi_yazisma/02_cevap_yazisi/07_ret_kismen_kabul/CY-225.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
DY-024,diger_resmi_yazisma,Düzce Üniversitesi,candidate,uygun,,datasets/resmi_yazisma/04_diger_resmi_yazisma/02_onay_olur/DY-024_harcama-yetkisi-devir-formu.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
DILEKCE-F8514B54,dilekce,Sentetik veri üretimi,candidate,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/dilekce/vergi_itiraz_vergi_dairesi_idari_para_cezasi_itiraz_dilekcesi_ornek_3.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
GIB-UY-030,ust_yazi,Gelir İdaresi Başkanlığı,candidate,uygun,,datasets/resmi_yazisma/01_ust_yazi/01_ek_belge_iletimi/GIB-UY-030_banka-subelerinin-surekli-damga-vergisi-hk.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-01-029,01_ust_yazi,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/ust_yazi/OS-01-029.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-02-181,02_cevap_yazisi,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/cevap_yazisi/OS-02-181.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-03-058,03_bilgilendirme_metni,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/bilgilendirme_metni/OS-03-058.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
OS-04-092,04_diger_resmi_yazisma,Sentetik veri üretimi,rejected,uygun,,datasets/resmi_yazisma/00_gelen_kaynaklar/diger_resmi_yazisma/OS-04-092.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
GIB-BM-022,bilgilendirme_metni,Gelir İdaresi Başkanlığı,candidate,uygun,,datasets/resmi_yazisma/03_bilgilendirme_metni/04_mevzuat_hak_yukumluluk/GIB-BM-022_serbest-muhasebeci-mali-musavirlik-ve-yeminli-mali-musavirlik-kanunu-s.md,agent_on_incelemesi_gecti,"metadata, karar, PII, maske ve boilerplate kontrolleri uygun",codex_agent_assisted,2026-08-17
